practice_code,region,registered_patients,gp_fte
A83037,"North East and Yorkshire",13052,10.65
A83038,"North East and Yorkshire",6162,5.13
A83040,"North East and Yorkshire",12259,7.61
A83041,"North East and Yorkshire",7353,5.76
A83043,"North East and Yorkshire",2663,3.38
A83044,"North East and Yorkshire",8288,7.13
A83045,"North East and Yorkshire",14902,5.67
A83046,"North East and Yorkshire",10953,9.92
A83047,"North East and Yorkshire",15097,13.24
A83048,"North East and Yorkshire",6241,2.99
A83049,"North East and Yorkshire",16238,12.73
A83050,"North East and Yorkshire",12670,11.28
A83051,"North East and Yorkshire",11387,11.55
A83052,"North East and Yorkshire",8645,5.29
A83054,"North East and Yorkshire",16755,13.89
A83055,"North East and Yorkshire",5035,5.60
A83057,"North East and Yorkshire",18289,13.78
A83060,"North East and Yorkshire",2880,2.04
A83061,"North East and Yorkshire",3669,1.95
A83066,"North East and Yorkshire",12572,2.47
A83070,"North East and Yorkshire",5901,1.38
A83071,"North East and Yorkshire",4648,0.67
A83072,"North East and Yorkshire",4139,2.06
A83073,"North East and Yorkshire",5294,1.86
A83074,"North East and Yorkshire",12103,8.08
A83075,"North East and Yorkshire",8319,6.96
A83610,"North East and Yorkshire",3525,0.67
A83616,"North East and Yorkshire",8593,4.61
A83617,"North East and Yorkshire",2659,1.07
A83618,"North East and Yorkshire",7673,5.51
A83619,"North East and Yorkshire",3398,1.00
A83622,"North East and Yorkshire",1734,0.39
A83626,"North East and Yorkshire",2261,0.43
A83627,"North East and Yorkshire",6639,6.63
A83634,"North East and Yorkshire",2746,1.19
A83635,"North East and Yorkshire",4509,0.80
A83636,"North East and Yorkshire",5845,3.83
A83637,"North East and Yorkshire",4171,2.07
A83641,"North East and Yorkshire",4855,1.33
A83644,"North East and Yorkshire",3580,1.44
A84002,"North East and Yorkshire",6163,4.26
A84005,"North East and Yorkshire",12760,8.62
A84006,"North East and Yorkshire",18871,15.50
A84007,"North East and Yorkshire",10776,9.32
